time,latitude,longitude,altitude,vn,ve,hdop,satellites
60112.000,33.709636,73.091274,511.500,0.000,0.000,4.540,5
60113.000,33.709635,73.091274,511.700,0.000,0.000,4.540,5
60114.000,33.709634,73.091275,512.000,0.000,0.000,4.540,5
60115.000,33.709633,73.091277,512.300,0.000,0.000,4.540,5
60116.000,33.709632,73.091277,512.500,0.000,0.000,4.540,5
60117.000,33.709631,73.091277,512.700,0.000,0.000,4.540,5
60118.000,33.709630,73.091278,513.000,0.000,0.000,4.540,5
60119.000,33.709629,73.091278,513.100,0.000,0.000,4.540,5
60120.000,33.709629,73.091278,513.000,0.000,0.000,4.540,5
60121.000,33.709629,73.091277,512.900,0.000,0.000,4.540,5
60122.000,33.709628,73.091278,513.000,0.000,0.000,4.540,5
60123.000,33.709628,73.091278,513.000,0.000,0.000,4.540,5
60124.000,33.709627,73.091278,513.100,0.000,0.000,4.540,5
60125.000,33.709626,73.091278,513.100,0.000,0.000,4.540,5
60126.000,33.709625,73.091279,513.300,0.000,0.000,4.540,5
60127.000,33.709623,73.091281,513.900,0.000,0.000,4.540,5
60128.000,33.709622,73.091281,514.200,0.000,0.000,4.540,5
60129.000,33.709620,73.091283,514.400,0.000,0.000,4.540,5
60130.000,33.709620,73.091285,514.600,0.000,0.000,4.540,5
60131.000,33.709619,73.091285,514.800,0.000,0.000,4.540,5
60132.000,33.709621,73.091284,515.000,0.000,0.000,4.540,5
60133.000,33.709622,73.091284,515.000,0.000,0.000,4.540,5
60134.000,33.709621,73.091285,515.100,0.000,0.000,4.540,5
60135.000,33.709620,73.091286,515.300,0.000,0.000,4.540,5
60136.000,33.709618,73.091288,515.500,0.000,0.000,4.550,5
60137.000,33.709618,73.091288,515.500,0.000,0.000,4.550,5
60138.000,33.709618,73.091288,515.400,0.000,0.000,4.550,5
60139.000,33.709618,73.091287,515.300,0.000,0.000,4.550,5
60140.000,33.709618,73.091287,515.300,0.000,0.000,4.550,5
60141.000,33.709619,73.091287,515.200,0.000,0.000,4.550,5
60142.000,33.709619,73.091287,515.300,0.000,0.000,4.550,5
60143.000,33.709619,73.091288,515.400,0.000,0.000,4.550,5
60144.000,33.709619,73.091288,515.300,0.000,0.000,4.550,5
60145.000,33.709619,73.091288,515.300,0.000,0.000,4.550,5
60146.000,33.709618,73.091289,515.200,0.000,0.000,4.550,5
60147.000,33.709619,73.091289,515.200,0.000,0.000,4.550,5
60148.000,33.709618,73.091289,515.200,0.000,0.000,4.550,5
60149.000,33.709618,73.091289,515.300,0.000,0.000,4.550,5
60150.000,33.709619,73.091289,515.300,0.000,0.000,4.550,5
60151.000,33.709619,73.091289,515.200,0.000,0.000,4.550,5
60152.000,33.709619,73.091289,515.200,0.000,0.000,4.550,5
60153.000,33.709619,73.091289,515.300,0.000,0.000,4.550,5
60154.000,33.709618,73.091290,515.500,0.000,0.000,4.550,5
60155.000,33.709618,73.091290,515.300,0.000,0.000,4.550,5
60156.000,33.709617,73.091291,515.400,0.000,0.000,4.550,5
60157.000,33.709616,73.091291,515.300,0.000,0.000,4.550,5
60158.000,33.709616,73.091291,515.100,0.000,0.000,4.550,5
60159.000,33.709616,73.091292,515.000,0.000,0.000,4.550,5
60160.000,33.709616,73.091291,514.800,0.000,0.000,4.550,5
60161.000,33.709616,73.091291,514.700,0.000,0.000,4.550,5
60162.000,33.709616,73.091292,514.900,0.000,0.000,4.560,5
60163.000,33.709617,73.091291,514.900,0.000,0.000,4.560,5
60164.000,33.709617,73.091291,514.900,0.000,0.000,4.560,5
60165.000,33.709617,73.091291,515.000,0.000,0.000,4.560,5
60166.000,33.709617,73.091292,515.200,0.000,0.000,4.560,5
60167.000,33.709617,73.091292,515.500,0.000,0.000,4.560,5
60168.000,33.709618,73.091292,515.500,0.000,0.000,4.560,5
60169.000,33.709619,73.091291,515.300,0.000,0.000,4.560,5
60170.000,33.709619,73.091290,515.300,0.000,0.000,4.560,5
60171.000,33.709620,73.091290,515.200,0.000,0.000,4.560,5
