time,ax,ay,az,wx,wy,wz
37029.579,0.015,-0.012,-1.046,4.532,-1.251,-0.992
37029.586,0.020,-0.017,-1.049,4.670,-1.328,-0.916
37029.593,0.018,-0.011,-1.044,4.670,-1.221,-0.946
37029.600,0.016,-0.014,-1.043,4.609,-1.282,-0.839
37029.608,0.021,-0.012,-1.044,4.486,-1.251,-0.855
37029.615,0.017,-0.013,-1.044,4.670,-1.236,-1.007
37029.622,0.020,-0.012,-1.049,4.563,-1.267,-0.839
37029.629,0.021,-0.011,-1.052,4.532,-1.145,-0.977
37029.636,0.018,-0.010,-1.051,4.578,-1.221,-1.145
37029.643,0.021,-0.014,-1.044,4.517,-1.236,-1.053
37029.756,0.023,-0.013,-1.046,4.578,-1.221,-0.839
37029.763,0.019,-0.014,-1.049,4.471,-1.221,-0.900
37029.770,0.018,-0.011,-1.047,4.609,-1.328,-0.931
37029.777,0.020,-0.013,-1.044,4.578,-1.404,-0.885
37029.784,0.019,-0.012,-1.052,4.532,-1.236,-1.068
37029.791,0.023,-0.015,-1.043,4.517,-1.190,-0.839
37029.799,0.019,-0.014,-1.049,4.486,-1.328,-0.992
37029.806,0.020,-0.014,-1.047,4.502,-1.221,-0.885
37029.813,0.018,-0.009,-1.046,4.532,-1.206,-0.916
37029.820,0.018,-0.011,-1.046,4.609,-1.328,-0.946
37029.827,0.018,-0.013,-1.050,4.547,-1.297,-0.839
37029.835,0.019,-0.010,-1.045,4.609,-1.389,-0.870
37029.842,0.021,-0.014,-1.048,4.563,-1.282,-1.022
37029.849,0.017,-0.016,-1.043,4.486,-1.282,-0.900
37029.856,0.020,-0.009,-1.049,4.593,-1.389,-0.946
37029.863,0.020,-0.014,-1.054,4.578,-1.328,-1.068
37029.871,0.021,-0.009,-1.047,4.563,-1.236,-0.931
37029.878,0.018,-0.012,-1.047,4.609,-1.206,-1.022
37029.885,0.020,-0.014,-1.052,4.609,-1.175,-0.916
37029.892,0.022,-0.011,-1.044,4.609,-1.190,-0.839
37029.899,0.021,-0.013,-1.046,4.563,-1.297,-0.977
37029.907,0.020,-0.010,-1.052,4.639,-1.282,-0.916
37029.914,0.019,-0.012,-1.048,4.593,-1.282,-0.900
37029.921,0.018,-0.012,-1.042,4.578,-1.297,-0.946
37029.928,0.016,-0.010,-1.055,4.502,-1.206,-0.794
37029.936,0.020,-0.013,-1.042,4.441,-1.251,-0.946
37029.943,0.022,-0.011,-1.047,4.578,-1.267,-0.870
37029.950,0.019,-0.015,-1.044,4.578,-1.267,-0.778
37029.957,0.016,-0.016,-1.043,4.532,-1.190,-0.900
37029.964,0.020,-0.013,-1.046,4.593,-1.358,-1.038
37029.971,0.021,-0.014,-1.044,4.563,-1.236,-0.916
37029.979,0.019,-0.013,-1.045,4.502,-1.282,-0.946
37029.986,0.018,-0.015,-1.048,4.547,-1.221,-0.977
37029.993,0.015,-0.012,-1.045,4.624,-1.206,-0.992
37030.000,0.019,-0.009,-1.048,4.654,-1.175,-0.900
37030.007,0.019,-0.014,-1.050,4.639,-1.160,-1.007
